address,suburb,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,contact_name,contact_phone,contact_email,contact_website,postcode,council,pools_at_address,lat,lon,osm_id
10 CLARENCE PLACE DOUBLE BAY,DOUBLE BAY,1986,40,92.5,1.0,exact,39.1,1184.7,7.5,7.3,0.714,residential,,,,,2028,WOOLLAHRA,,-33.8836934,151.2478984,way/1424707012
12 STREATFIELD ROAD BELLEVUE HILL,BELLEVUE HILL,1986,40,92.5,1.0,exact,32.3,1142.3,8.4,5.9,0.654,residential,,,,,2023,WOOLLAHRA,,-33.8831218,151.2524123,way/1424811213
15 MYNAH CLOSE ST CLAIR,ST CLAIR,1986,40,92.5,1.0,exact,32.3,1176.2,8.0,6.2,0.654,residential,,,,,2759,PENRITH,,-33.7962674,150.7932413,way/1015390410
9 RUSSELL STREET VAUCLUSE,VAUCLUSE,1986,40,92.5,1.0,exact,31.7,1115.2,9.8,4.8,0.67,residential,,,,,2030,WOOLLAHRA,,-33.8487207,151.2812363,way/1481742998
14 REIBY DRIVE BAULKHAM HILLS,BAULKHAM HILLS,1986,40,92.5,1.0,exact,40.0,1012.8,8.9,6.8,0.666,residential,,,,,2153,THE HILLS SHIRE,,-33.747131,150.9928843,way/680248240
89 ARCADIA STREET PENSHURST,PENSHURST,1986,40,92.2,1.0,exact,70.8,1407.8,12.7,7.6,0.733,residential,,,,,2222,GEORGES RIVER,,-33.9552775,151.0813677,way/1137805802
42-43 NEW BEACH ROAD DARLING POINT,DARLING POINT,1986,40,92.2,1.0,exact,55.6,1864.1,11.4,6.8,0.723,residential,,,,,2027,WOOLLAHRA,,-33.8734601,151.2353764,way/831591635
19 FITZWILLIAM ROAD VAUCLUSE,VAUCLUSE,1986,40,92.2,1.0,exact,46.7,1462.6,10.7,5.4,0.812,residential,,,,,2030,WOOLLAHRA,,-33.8535425,151.2772182,way/1186661947
48 RICKARD AVENUE MOSMAN,MOSMAN,1986,40,92.2,1.0,exact,41.2,1256.1,9.5,5.5,0.799,residential,,,,,2088,MOSMAN,,-33.8396542,151.2402695,way/1534247382
9 PRINCES PROMENADE SEAFORTH,SEAFORTH,1986,40,92.2,1.0,exact,31.1,1294.9,7.8,5.1,0.784,residential,,,,,2092,NORTHERN BEACHES,,-33.8015447,151.2391186,way/1368371271
9 LENNOX STREET MOSMAN,MOSMAN,1986,40,92.2,1.0,exact,39.7,1527.1,8.6,6.0,0.768,residential,,,,,2088,MOSMAN,,-33.8385729,151.2414599,way/1534247270
26 MORELLA ROAD MOSMAN,MOSMAN,1986,40,92.2,1.0,exact,36.8,2431.2,8.7,5.1,0.835,residential,,,,,2088,MOSMAN,,-33.8389856,151.2498969,way/1534247335
39 BRADLEYS HEAD ROAD MOSMAN,MOSMAN,1986,40,92.2,1.0,exact,39.2,1525.6,10.2,4.7,0.82,residential,,,,,2088,MOSMAN,2,-33.8376638,151.2456499,way/1535188859
11 KIPPARA ROAD DOVER HEIGHTS,DOVER HEIGHTS,1986,40,92.2,1.0,exact,48.6,1262.3,10.8,5.4,0.838,residential,,,,,2030,WAVERLEY,,-33.8794811,151.2783901,way/955333263
13 KIPPARA ROAD DOVER HEIGHTS,DOVER HEIGHTS,1986,40,92.2,1.0,exact,38.1,1203.7,9.8,4.7,0.825,residential,,,,,2030,WAVERLEY,,-33.8793811,151.2783837,way/955333264
86-88 LETHBRIDGE STREET PENRITH,PENRITH,1986,40,92.2,1.0,exact,53.2,3754.1,10.7,6.0,0.822,residential,,,,,2750,PENRITH,,-33.7576251,150.7030149,way/965485256
32 OLIVET STREET GLENBROOK,GLENBROOK,1986,40,92.2,1.0,exact,35.9,1951.7,8.9,4.9,0.827,residential,,,,,2773,BLUE MOUNTAINS,,-33.7566634,150.6220643,way/1192845767
166 BEECROFT ROAD CHELTENHAM,CHELTENHAM,1986,40,92.2,1.0,exact,37.3,1299.5,9.8,4.7,0.817,residential,,,,,2119,HORNSBY,,-33.7583154,151.0740034,way/814860188
16 THE BOULEVARD CHELTENHAM,CHELTENHAM,1986,40,92.2,1.0,exact,71.4,1738.6,13.7,6.3,0.819,residential,,,,,2119,HORNSBY,2,-33.7576682,151.0773472,way/1336300078
3 THE BOULEVARD CHELTENHAM,CHELTENHAM,1986,40,92.2,1.0,exact,41.3,1932.0,9.2,5.5,0.817,residential,,,,,2119,HORNSBY,,-33.7577085,151.0786241,way/1000802606
28 SUTHERLAND ROAD CHELTENHAM,CHELTENHAM,1986,40,92.2,1.0,exact,38.1,1466.8,9.2,5.2,0.793,residential,,,,,2119,HORNSBY,,-33.7542752,151.0774475,way/1001600874
138A BEECROFT ROAD BEECROFT,BEECROFT,1986,40,92.2,1.0,exact,49.9,1580.3,10.3,6.3,0.771,residential,,,,,2119,HORNSBY,,-33.7561781,151.069711,way/1332577733
37 CHELTENHAM ROAD CHELTENHAM,CHELTENHAM,1986,40,92.2,1.0,exact,45.3,3037.3,10.6,5.9,0.728,residential,,,,,2119,HORNSBY,,-33.7569455,151.0773636,way/1333461912
32 KALIMNA DRIVE BAULKHAM HILLS,BAULKHAM HILLS,1986,40,92.2,1.0,exact,34.4,1326.5,9.3,4.8,0.78,residential,,,,,2153,THE HILLS SHIRE,,-33.7482517,150.9752984,way/677528085
439 WINDSOR ROAD BAULKHAM HILLS,BAULKHAM HILLS,1986,40,92.2,1.0,exact,48.8,1348.9,10.5,5.9,0.789,residential,,,,,2153,THE HILLS SHIRE,,-33.7501583,150.9870599,way/677528104
78 CASTLEWOOD DRIVE CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,47.4,1840.6,9.4,6.2,0.807,residential,,,,,2154,THE HILLS SHIRE,,-33.7434912,151.0145443,way/678304810
71 GEORGE MOBBS DRIVE CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,43.9,1505.8,9.7,5.6,0.813,residential,,,,,2154,THE HILLS SHIRE,,-33.746819,151.0032069,way/680636113
85 CRANE ROAD CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,39.0,1227.1,8.4,6.2,0.75,residential,,,,,2154,THE HILLS SHIRE,,-33.7377752,151.0155351,way/681510161
3 BLUE CRANE CLOSE WEST PENNANT HILLS,WEST PENNANT HILLS,1986,40,92.2,1.0,exact,54.4,1217.6,10.8,6.9,0.731,residential,,,,,2125,THE HILLS SHIRE,,-33.7539514,151.0132405,way/682329064
8/174 OLD NORTHERN ROAD CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,53.8,2302.9,10.1,7.2,0.737,residential,,,,,2154,THE HILLS SHIRE,,-33.7454264,150.9947569,way/682571327
25 BRUSHFORD AVENUE CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,36.6,1362.7,8.2,5.9,0.748,residential,,,,,2154,THE HILLS SHIRE,,-33.7493817,151.0065936,way/682571384
29 FERGUSON AVENUE CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,48.0,2439.5,10.6,5.5,0.83,residential,,,,,2154,THE HILLS SHIRE,,-33.7492303,151.0053854,way/689820830
13 CYNTHIA AVENUE CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,38.9,1711.8,9.9,5.0,0.778,residential,,,,,2154,THE HILLS SHIRE,,-33.7484966,151.0010313,way/689820845
155A OLD NORTHERN ROAD CASTLE HILL,CASTLE HILL,1986,40,92.2,1.0,exact,38.2,1646.1,8.5,6.1,0.739,residential,,,,,2154,THE HILLS SHIRE,,-33.7472919,150.9943774,way/689821009
11 MUNRO STREET BAULKHAM HILLS,BAULKHAM HILLS,1986,40,92.2,1.0,exact,30.8,1980.1,6.6,5.5,0.838,residential,,,,,2153,THE HILLS SHIRE,,-33.751934,151.0041984,way/690362733
37 MAYBROOK AVENUE CROMER,CROMER,1986,40,92.2,1.0,exact,49.4,1365.3,10.3,5.9,0.811,residential,,,,,2099,NORTHERN BEACHES,2,-33.7356306,151.2642063,way/1364686734
67 GROVER AVENUE CROMER,CROMER,1986,40,92.2,1.0,exact,33.5,1477.3,9.6,4.4,0.788,residential,,,,,2099,NORTHERN BEACHES,,-33.7349905,151.2685566,way/1364988924
39 GROVER AVENUE CROMER,CROMER,1986,40,92.2,1.0,exact,38.1,1475.3,10.3,4.8,0.768,residential,,,,,2099,NORTHERN BEACHES,,-33.7353865,151.271757,way/1364988996
23 MURRAY ROAD BEECROFT,BEECROFT,1986,40,92.0,0.99,exact,45.9,1334.4,9.5,5.9,0.822,residential,,,,,2119,HORNSBY,,-33.757676,151.0706088,way/814860203
198D COPELAND ROAD BEECROFT,BEECROFT,1986,40,92.0,0.99,exact,33.1,1333.8,7.8,5.3,0.804,residential,,,,,2119,HORNSBY,,-33.752147,151.0739886,way/1018191349
276-286 MALTON ROAD NORTH EPPING,NORTH EPPING,1986,40,91.9,0.98,exact,61.8,4049.2,11.7,6.5,0.815,residential,,,,,2121,HORNSBY,,-33.7586319,151.0932471,way/1000929071
11 MURRAY ROAD BEECROFT,BEECROFT,1986,40,91.9,1.0,exact,148.3,1633.1,20.9,12.4,0.571,residential,,,,,2119,HORNSBY,,-33.7559883,151.0720553,way/1332576916
16 MARTIN STREET EMU PLAINS,EMU PLAINS,1986,40,91.7,0.97,exact,37.4,1531.5,9.2,5.1,0.804,residential,,,,,2750,PENRITH,,-33.7531883,150.6556043,way/458350930
2/26B MARCELLA STREET NORTH EPPING,NORTH EPPING,1986,40,91.7,0.97,exact,38.4,1243.0,8.9,5.3,0.808,residential,,,,,2121,HORNSBY,,-33.7565786,151.0877564,way/1000929077
6 GERALDINE AVENUE BAULKHAM HILLS,BAULKHAM HILLS,1986,40,91.7,0.97,exact,48.6,1369.0,10.8,5.8,0.783,residential,,,,,2153,THE HILLS SHIRE,,-33.7514416,150.9837584,way/1535311164
48 EARL STREET BEACON HILL,BEACON HILL,1986,40,91.6,0.95,exact,38.7,926.1,8.6,7.6,0.589,residential,,,,,2100,NORTHERN BEACHES,,-33.7538399,151.2572471,way/1033367564
3 BRISBANE PLACE CROMER,CROMER,1986,40,91.6,0.95,exact,33.8,957.2,7.7,6.2,0.708,residential,,,,,2099,NORTHERN BEACHES,,-33.7329476,151.2643338,way/1365323707
28 BOWEN AVENUE SOUTH TURRAMURRA,SOUTH TURRAMURRA,1986,40,91.5,0.96,exact,44.3,1500.1,10.0,5.4,0.816,residential,,,,,2074,KU-RING-GAI,,-33.7588626,151.1076596,way/1311136528
8A PRINCE ALFRED PARADE NEWPORT,NEWPORT,1986,40,91.5,0.96,exact,46.7,1228.0,10.6,5.3,0.833,residential,,,,,2106,NORTHERN BEACHES,,-33.6534992,151.3044934,way/1544506869
249B MALTON ROAD NORTH EPPING,NORTH EPPING,1986,40,91.4,0.94,exact,42.4,1025.4,10.1,6.2,0.68,residential,,,,,2121,HORNSBY,,-33.7574553,151.0927784,way/1000929085
50 HARDY STREET DOVER HEIGHTS,DOVER HEIGHTS,1986,40,91.3,0.95,exact,45.3,1430.4,10.5,5.4,0.8,residential,,,,,2030,WAVERLEY,,-33.8761872,151.2778021,way/955843389
39 BARLOW STREET CAMBRIDGE PARK,CAMBRIDGE PARK,1986,40,91.1,0.94,exact,37.0,1981.3,9.0,4.9,0.829,residential,,,,,2747,PENRITH,,-33.7445975,150.7260712,way/1377210206
41 BELINDA CRESCENT NORTH EPPING,NORTH EPPING,1986,40,91.1,0.94,exact,38.2,1596.7,8.9,5.5,0.779,residential,,,,,2121,HORNSBY,2,-33.758062,151.084747,way/1229842761
11 DAPHNE AVENUE CASTLE HILL,CASTLE HILL,1986,40,91.1,0.94,exact,35.6,1728.3,8.1,5.6,0.788,residential,,,,,2154,THE HILLS SHIRE,3,-33.7450929,150.9950747,way/682571182
56 WASHINGTON AVENUE CROMER,CROMER,1986,40,91.1,0.94,exact,38.9,1472.5,9.3,5.2,0.804,residential,,,,,2099,NORTHERN BEACHES,,-33.7333617,151.2705852,way/1426664568
18 GEELONG ROAD CROMER,CROMER,1986,40,91.0,0.92,exact,32.3,934.0,8.1,5.9,0.677,residential,,,,,2099,NORTHERN BEACHES,,-33.738215,151.2771814,way/1364304649
40 YODALLA AVENUE EMU PLAINS,EMU PLAINS,1986,40,90.8,0.92,exact,41.3,1244.6,9.3,5.8,0.766,residential,,,,,2750,PENRITH,2,-33.7557212,150.6647441,way/458272732
15 GLENFERN CLOSE WEST PENNANT HILLS,WEST PENNANT HILLS,1986,40,90.8,0.92,exact,45.0,1365.8,10.0,5.6,0.805,residential,,,,,2125,THE HILLS SHIRE,,-33.7540537,151.0169617,way/682329114
37 ARNDILL AVENUE BAULKHAM HILLS,BAULKHAM HILLS,1986,40,90.8,0.91,exact,37.6,1019.0,9.5,6.2,0.634,residential,,,,,2153,THE HILLS SHIRE,,-33.7444223,150.9839492,way/682571386
35 HIGHS ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,1986,40,90.8,0.92,exact,49.6,1810.0,10.7,5.6,0.825,residential,,,,,2125,THE HILLS SHIRE,,-33.740847,151.0231565,way/1313684295
64 ROSS CRESCENT BLAXLAND,BLAXLAND,1986,40,90.8,0.92,exact,40.3,3271.5,8.9,5.5,0.823,residential,,,,,2774,BLUE MOUNTAINS,,-33.7452529,150.6025689,way/1011227053
130 BOUNDARY ROAD NORTH EPPING,NORTH EPPING,1986,40,90.6,0.91,exact,57.0,1486.4,10.5,6.7,0.81,residential,,,,,2121,HORNSBY,,-33.7545598,151.0922522,way/1055892541
54 CAMBEWARRA AVENUE CASTLE HILL,CASTLE HILL,1986,40,90.6,0.91,exact,36.8,1515.3,9.1,5.0,0.804,residential,,,,,2154,THE HILLS SHIRE,,-33.745752,151.0046177,way/682571263
18 BRUNETTE DRIVE CASTLE HILL,CASTLE HILL,1986,40,90.6,0.91,exact,53.1,1808.2,11.5,5.7,0.817,residential,,,,,2154,THE HILLS SHIRE,,-33.7485466,151.0006586,way/689820839
37 PIONEER PLACE CASTLE HILL,CASTLE HILL,1986,40,90.6,0.91,exact,51.9,4519.2,10.3,6.4,0.787,residential,,,,,2154,THE HILLS SHIRE,,-33.7302702,151.0154207,way/1325619477
5 DYMPNA STREET CROMER,CROMER,1986,40,90.6,0.91,exact,45.0,3644.7,10.2,5.3,0.837,residential,,,,,2099,NORTHERN BEACHES,,-33.7334445,151.2823306,way/1426441443
10 PARK AVENUE GORDON,GORDON,1986,40,90.6,0.91,exact,69.5,1349.6,13.1,6.5,0.819,residential,,,,,2072,KU-RING-GAI,,-33.7532329,151.1540626,way/1330087186
11 PHILIP ROAD MONA VALE,MONA VALE,1986,40,90.6,0.91,exact,36.6,1421.0,9.1,5.2,0.774,residential,,,,,2103,NORTHERN BEACHES,,-33.6695569,151.3139225,way/1321998246
9 BLIGHS ROAD CROMER,CROMER,1986,40,90.5,0.89,exact,54.3,834.4,11.9,6.5,0.71,residential,,,,,2099,NORTHERN BEACHES,2,-33.7304605,151.2679263,way/1426872996
36 CURTIN CRESCENT MAROUBRA,MAROUBRA,1986,40,90.4,0.9,exact,42.4,4156.2,10.0,5.3,0.804,residential,,,,,2035,RANDWICK,,-33.9514733,151.2503698,way/954624754
1/855 NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,1986,40,90.4,0.9,exact,33.1,1744.7,9.6,4.5,0.77,residential,,,,,2029,WOOLLAHRA,3,-33.8676872,151.2712445,way/875174390
143 AIKEN ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,1986,40,90.4,0.9,exact,37.3,1202.9,8.8,5.4,0.787,residential,,,,,2125,THE HILLS SHIRE,,-33.7523172,151.0282486,way/946175878
198 COPELAND ROAD BEECROFT,BEECROFT,1986,40,90.4,0.9,exact,43.1,1691.7,10.2,5.2,0.804,residential,,,,,2119,HORNSBY,,-33.751962,151.0736332,way/1018191350
5 SHERWIN AVENUE CASTLE HILL,CASTLE HILL,1986,40,90.4,0.9,exact,30.8,3769.3,7.7,5.5,0.726,residential,,,,,2154,THE HILLS SHIRE,,-33.7346955,151.001139,way/681510189
9 DAY ROAD CHELTENHAM,CHELTENHAM,1986,40,90.2,0.89,exact,47.7,1891.4,9.8,6.2,0.784,residential,,,,,2119,HORNSBY,2,-33.7553139,151.0812759,way/1000929073
12 GREENVALE PLACE CASTLE HILL,CASTLE HILL,1986,40,90.2,0.89,exact,37.2,2705.4,8.7,5.6,0.766,residential,,,,,2154,THE HILLS SHIRE,,-33.7476275,151.0076533,way/679143522
10 FITZROY ROAD CROMER,CROMER,1986,40,90.2,0.89,exact,57.4,1310.4,12.4,5.9,0.782,residential,,,,,2099,NORTHERN BEACHES,,-33.7338919,151.2681589,way/1364989001
53 STANLEY STREET PEAKHURST,PEAKHURST,1986,40,90.1,1.0,exact,32.9,2943.4,9.0,4.2,0.875,residential,,,,,2210,GEORGES RIVER,,-33.9635835,151.0617036,way/1082687286
83 ELY STREET REVESBY,REVESBY,1986,40,90.1,1.0,exact,51.8,1353.4,10.3,5.6,0.89,residential,,,,,2212,CANTERBURY-BANKSTOWN,,-33.9437205,151.0119343,way/556651547
19 GLENVIEW AVENUE REVESBY,REVESBY,1986,40,90.1,1.0,exact,44.0,996.0,9.7,5.7,0.802,residential,,,,,2212,CANTERBURY-BANKSTOWN,,-33.9498092,151.0092257,way/776205272
24 DICKENSON STREET PANANIA,PANANIA,1986,40,90.1,1.0,exact,44.7,808.9,9.9,5.7,0.793,residential,,,,,2213,CANTERBURY-BANKSTOWN,,-33.9487343,151.0029788,way/776205273
1 SYDNEY STREET PANANIA,PANANIA,1986,40,90.1,1.0,exact,39.5,853.0,9.3,5.4,0.776,residential,,,,,2213,CANTERBURY-BANKSTOWN,,-33.9513149,150.9972589,way/1030586230
220R MALABAR ROAD SOUTH COOGEE,SOUTH COOGEE,1986,40,90.1,1.0,exact,43.4,3419.2,10.1,4.8,0.9,residential,,,,,2034,RANDWICK,,-33.9342043,151.2574358,way/954669735
100 VICTORIA STREET ASHFIELD,ASHFIELD,1986,40,90.1,1.0,exact,42.1,1037.0,8.3,6.1,0.834,residential,,,,,2131,INNER WEST,,-33.894873,151.1303635,way/697921327
60-62 ALT STREET ASHFIELD,ASHFIELD,1986,40,90.1,1.0,exact,55.1,1954.6,11.0,5.6,0.891,residential,,,,,2131,INNER WEST,,-33.8825797,151.1243253,way/699012266
56 ORPINGTON STREET ASHFIELD,ASHFIELD,1986,40,90.1,1.0,exact,41.4,1758.1,9.0,5.2,0.886,residential,,,,,2131,INNER WEST,,-33.8848083,151.1318228,way/699404158
26-28 CLYDE STREET CROYDON PARK,CROYDON PARK,1986,40,90.1,1.0,exact,37.3,2027.9,8.8,5.0,0.86,residential,,,,,2133,CANTERBURY-BANKSTOWN,,-33.897714,151.1061118,way/1177110680
2A DUMARESQ ROAD ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,45.2,1487.4,10.0,5.2,0.865,residential,,,,,2029,WOOLLAHRA,2,-33.8675481,151.2704915,way/875174153
788 NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,43.4,887.3,9.1,5.8,0.826,residential,,,,,2029,WOOLLAHRA,,-33.8664774,151.2713315,way/875174162
29 DUDLEY ROAD ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,35.7,848.5,9.0,5.4,0.727,residential,,,,,2029,WOOLLAHRA,,-33.8660548,151.2765359,way/875174181
839 NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,58.3,1086.2,11.9,6.6,0.739,residential,,,,,2029,WOOLLAHRA,,-33.8689638,151.2709975,way/875174239
1/4 DUMARESQ ROAD ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,45.4,1735.5,10.0,5.2,0.878,residential,,,,,2029,WOOLLAHRA,,-33.8672323,151.2705206,way/875174268
29 NAPIER STREET DOVER HEIGHTS,DOVER HEIGHTS,1986,40,90.1,1.0,exact,54.9,969.9,12.2,6.1,0.74,residential,,,,,2030,WAVERLEY,,-33.8737017,151.2811081,way/875174426
46 CRANBROOK ROAD BELLEVUE HILL,BELLEVUE HILL,1986,40,90.1,1.0,exact,33.9,1670.9,7.6,4.9,0.901,residential,,,,,2023,WOOLLAHRA,,-33.8765547,151.2557235,way/885893007
17 NEW SOUTH HEAD ROAD VAUCLUSE,VAUCLUSE,1986,40,90.1,1.0,exact,43.8,1115.4,9.8,5.7,0.789,residential,,,,,2030,WOOLLAHRA,,-33.8625086,151.272495,way/955398570
30 LIVERPOOL STREET ROSE BAY,ROSE BAY,1986,40,90.1,1.0,exact,42.3,1293.7,9.2,5.3,0.862,residential,,,,,2029,WOOLLAHRA,,-33.8754103,151.2749003,way/955843411
26 KARDINIA ROAD MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,47.7,1899.3,12.3,5.1,0.757,residential,,,,,2088,MOSMAN,,-33.8413368,151.2493668,way/1534247262
18A BRADLEYS HEAD ROAD MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,54.9,1227.2,10.9,5.7,0.891,residential,,,,,2088,MOSMAN,,-33.8398142,151.2434234,way/1534247280
35 KARDINIA ROAD MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,48.2,1824.0,10.1,5.2,0.915,residential,,,,,2088,MOSMAN,2,-33.8405339,151.2481552,way/1534247293
8A DAVID STREET MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,47.4,1095.1,10.8,5.7,0.77,residential,,,,,2088,MOSMAN,,-33.8405271,151.2497854,way/1534247309
13 DAVID STREET MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,49.3,1559.7,10.0,5.8,0.842,residential,,,,,2088,MOSMAN,,-33.8395757,151.2491798,way/1534247323
7 OLDFIELD COURT ST CLAIR,ST CLAIR,1986,40,90.1,1.0,exact,28.3,1255.9,8.7,3.9,0.836,residential,,,,,2759,PENRITH,,-33.8002689,150.7808826,way/550043721
19 SEAFORTH CRESCENT SEAFORTH,SEAFORTH,1986,40,90.1,1.0,exact,56.1,2408.5,10.8,6.0,0.864,residential,,,,,2092,NORTHERN BEACHES,,-33.8034087,151.242468,way/1368371263
20 MIDDLE HEAD ROAD MOSMAN,MOSMAN,1986,40,90.1,1.0,exact,57.2,3319.7,11.1,6.0,0.859,residential,,,,,2088,MOSMAN,,-33.8335462,151.248749,way/1535188898
46 HARDY STREET DOVER HEIGHTS,DOVER HEIGHTS,1986,40,90.1,1.0,exact,43.7,1131.0,9.2,6.6,0.722,residential,,,,,2030,WAVERLEY,,-33.8765466,151.2776602,way/955843398
15 RAWSON AVENUE PENRITH,PENRITH,1986,40,90.1,1.0,exact,32.7,1978.9,7.9,4.5,0.919,residential,,,,,2750,PENRITH,,-33.7605263,150.6949918,way/1192407186
25 LINKSVIEW AVENUE LEONAY,LEONAY,1986,40,90.1,1.0,exact,51.9,1016.2,10.2,6.5,0.786,residential,,,,,2750,PENRITH,,-33.7633502,150.6523951,way/1192534894
217A BEECROFT ROAD CHELTENHAM,CHELTENHAM,1986,40,90.1,1.0,exact,43.6,883.7,11.1,5.1,0.771,residential,,,,,2119,HORNSBY,,-33.7600898,151.0800911,way/814860193
2/39 HANOVER AVENUE NORTH EPPING,NORTH EPPING,1986,40,90.1,1.0,exact,45.2,1033.1,10.7,5.4,0.78,residential,,,,,2121,HORNSBY,2,-33.7545329,151.0950753,way/935703331
10-12 THE BOULEVARD CHELTENHAM,CHELTENHAM,1986,40,90.1,1.0,exact,43.9,3076.5,10.3,4.7,0.907,residential,,,,,2119,HORNSBY,,-33.7572575,151.0780424,way/1000926054
41 CHELTENHAM ROAD CHELTENHAM,CHELTENHAM,1986,40,90.1,1.0,exact,34.2,1502.4,9.0,4.2,0.899,residential,,,,,2119,HORNSBY,,-33.7569461,151.0767783,way/1000926056
297 MALTON ROAD NORTH EPPING,NORTH EPPING,1986,40,90.1,1.0,exact,56.5,1196.1,10.8,6.9,0.76,residential,,,,,2121,HORNSBY,,-33.7587951,151.0957773,way/1000929074
338 MALTON ROAD NORTH EPPING,NORTH EPPING,1986,40,90.1,1.0,exact,49.6,1038.7,9.4,6.7,0.792,residential,,,,,2121,HORNSBY,,-33.7575701,151.0991062,way/1001603088
