address,suburb,postcode,council,earliest_confirmed_year,min_age_years,lead_score,age_confidence,address_match,area_m2,lot_m2,length_m,width_m,rect_fill,category,pools_at_address,reno_state,ti_now,contact_name,contact_phone,contact_email,contact_website,lat,lon,osm_id
20 MIDDLE HEAD ROAD MOSMAN,MOSMAN,2088,MOSMAN,1986,40,90.2,1.0,exact,57.2,3319.7,11.1,6.0,0.859,residential,,original_finish,0.899,,,,,-33.8335462,151.248749,way/1535188898
338 MALTON ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,90.2,1.0,exact,49.6,1038.7,9.4,6.7,0.792,residential,,original_finish,0.802,,,,,-33.7575701,151.0991062,way/1001603088
58 HILDA ROAD BAULKHAM HILLS,BAULKHAM HILLS,2153,THE HILLS SHIRE,1986,40,90.2,1.0,exact,32.9,1160.7,9.0,4.9,0.741,residential,,original_finish,0.865,,,,,-33.7595192,150.9713555,way/1373604611
118 CRESCENT ROAD NEWPORT,NEWPORT,2106,NORTHERN BEACHES,1986,40,90.2,1.0,exact,43.2,1019.2,9.8,5.9,0.747,residential,,original_finish,0.812,,,,,-33.6650802,151.3111289,way/1333043640
42 BULKARA ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,90.1,0.99,exact,38.4,1429.2,11.4,4.2,0.795,residential,,original_finish,0.908,,,,,-33.8772237,151.2487735,way/954966052
227 MALTON ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,90.0,0.87,exact,44.2,1234.5,10.2,5.2,0.834,residential,,original_finish,0.937,,,,,-33.7569321,151.0903751,way/1000929078
3 BROOK ROAD GLENBROOK,GLENBROOK,2773,BLUE MOUNTAINS,1986,40,89.9,0.86,exact,43.2,2602.9,9.6,5.6,0.81,residential,2,original_finish,0.864,,,,,-33.7712613,150.6262738,way/963393084
1 SWAN PLACE PENNANT HILLS,PENNANT HILLS,2120,HORNSBY,1991,35,89.6,1.0,exact,35.0,1937.1,9.1,5.3,0.716,residential,,original_finish,0.806,,,,,-33.7353088,151.0622121,way/1307474482
70 BOUNDARY ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,89.5,0.94,exact,38.7,1114.7,9.0,5.3,0.809,residential,,original_finish,0.853,,,,,-33.7571213,151.0968479,way/1024102907
44 BRUNETTE DRIVE CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,89.5,0.94,exact,40.4,1364.6,8.5,5.3,0.899,residential,,original_finish,0.947,,,,,-33.7469454,151.0005708,way/680636120
288-290 MALTON ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,89.4,0.93,exact,41.6,1211.3,9.1,5.4,0.841,residential,,original_finish,0.812,,,,,-33.75898,151.0939556,way/1001603081
643 ANZAC PARADE MAROUBRA,MAROUBRA,2035,RANDWICK,1986,40,89.2,0.91,exact,32.6,1567.8,9.9,4.1,0.808,residential,,original_finish,0.866,,,,,-33.936078,151.2372262,way/1388832162
19 NARELLE STREET NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,89.2,0.91,exact,46.7,1550.9,10.3,4.9,0.918,residential,2,original_finish,0.812,,,,,-33.7595711,151.0889205,way/1020184412
216 ALBERT ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,89.1,1.0,exact,54.8,1519.4,10.9,5.0,0.999,residential,2,original_finish,0.847,,,,,-33.8760785,151.078081,way/566657685
11-13 MANSON ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,89.1,1.0,exact,46.0,2414.4,9.8,4.8,0.982,residential,,original_finish,0.91,,,,,-33.8689215,151.0935842,way/839802570
36-38 BENELONG CRESCENT BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,89.1,1.0,exact,32.0,2037.4,8.3,4.0,0.977,residential,,original_finish,0.857,,,,,-33.884901,151.2605367,way/955413865
14 LORD HOWE STREET DOVER HEIGHTS,DOVER HEIGHTS,2030,WAVERLEY,1986,40,89.1,1.0,exact,45.1,1657.4,9.8,4.7,0.987,residential,,original_finish,0.907,,,,,-33.8773211,151.2819082,way/955843403
29 MURRAY ROAD BEECROFT,BEECROFT,2119,HORNSBY,1986,40,89.1,1.0,exact,40.8,1564.8,9.2,4.5,1.0,residential,,original_finish,0.803,,,,,-33.7580466,151.070091,way/1334395206
12 PRINCE STREET GLENBROOK,GLENBROOK,2773,BLUE MOUNTAINS,1986,40,89.1,1.0,exact,38.1,1594.3,9.1,4.2,0.999,residential,,original_finish,0.91,,,,,-33.7642721,150.6149416,way/980544699
17-19 BENELONG CRESCENT BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,89.0,0.9,exact,41.8,2495.0,10.9,4.6,0.83,residential,,original_finish,0.818,,,,,-33.8854464,151.2634652,way/955413861
80 CRANE ROAD CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,89.0,0.9,exact,44.3,1059.7,10.1,5.5,0.796,residential,,original_finish,0.929,,,,,-33.7389896,151.0160809,way/681510239
21 WILSON STREET MAROUBRA,MAROUBRA,2035,RANDWICK,1986,40,88.9,1.0,exact,73.2,809.0,12.1,7.1,0.851,residential,,original_finish,1.0,,,,,-33.9408432,151.2633355,way/954669791
582 WOODVILLE ROAD GUILDFORD,GUILDFORD,2161,CUMBERLAND,1986,40,88.9,0.98,exact,60.3,3582.5,11.2,5.4,0.999,residential,,original_finish,0.871,,,,,-33.8633353,150.9907219,way/647962299
26 SIMPSON STREET BONDI BEACH,BONDI BEACH,2026,WAVERLEY,1986,40,88.9,1.0,exact,60.4,1796.7,12.6,5.6,0.855,residential,,original_finish,0.943,,,,,-33.8865375,151.267633,way/955413856
50 BEAUMONT STREET ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,88.9,1.0,exact,43.4,979.9,9.9,5.2,0.844,residential,,original_finish,0.907,,,,,-33.8749552,151.2772751,way/955852201
20 HANOVER AVENUE NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.9,0.89,exact,50.5,1145.9,11.4,6.0,0.737,residential,,original_finish,0.868,,,,,-33.7553117,151.0975886,way/1001603095
3 LOXTON PLACE FORESTVILLE,FORESTVILLE,2087,NORTHERN BEACHES,1986,40,88.9,0.89,exact,37.8,1036.4,8.4,5.9,0.763,residential,,original_finish,0.823,,,,,-33.7532751,151.2176648,way/868518756
34 WEDGEWOOD CRESCENT BEACON HILL,BEACON HILL,2100,NORTHERN BEACHES,1986,40,88.9,0.89,exact,35.1,977.3,9.0,4.8,0.814,residential,,original_finish,0.832,,,,,-33.758821,151.2606664,way/1033367546
30 WOODWARD STREET CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,88.9,1.0,exact,62.4,865.5,13.3,5.9,0.8,residential,,original_finish,0.843,,,,,-33.7294684,151.26436,way/1426441558
15 KINGSFORD AVENUE SOUTH TURRAMURRA,SOUTH TURRAMURRA,2074,KU-RING-GAI,1986,40,88.9,0.98,exact,36.8,1356.5,8.9,4.1,0.999,residential,,original_finish,0.847,,,,,-33.7520825,151.1056471,way/941632512
291 HUDSON PARADE CLAREVILLE,CLAREVILLE,2107,NORTHERN BEACHES,1986,40,88.8,0.77,exact,38.7,1609.3,8.8,5.4,0.817,residential,,original_finish,0.882,,,,,-33.6402477,151.3101037,way/1535062557
12 GILLIVER AVENUE VAUCLUSE,VAUCLUSE,2030,WOOLLAHRA,1986,40,88.7,1.0,nearby,63.2,1365.1,15.0,6.2,0.685,residential,,original_finish,0.809,,,,,-33.8599833,151.2716695,way/875211939
596D NEW SOUTH HEAD ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,88.6,1.0,nearby,45.2,3643.1,10.0,5.4,0.837,residential,,original_finish,1.035,,,,,-33.8701344,151.2634359,way/875174296
35 DRUMALBYN ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,88.6,1.0,nearby,37.7,1982.8,8.9,5.8,0.726,residential,,original_finish,0.856,,,,,-33.8785883,151.2568704,way/954966051
7 BAROSSA CLOSE ST CLAIR,ST CLAIR,2759,PENRITH,1986,40,88.6,1.0,nearby,37.9,882.1,10.3,5.1,0.717,residential,,original_finish,0.81,,,,,-33.7956228,150.7909757,way/1015236537
6 BAILEY CRESCENT NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.6,0.86,exact,42.9,1335.3,11.1,4.9,0.784,residential,,original_finish,0.893,,,,,-33.7568763,151.0917636,way/1000929083
17 HAREFIELD CLOSE NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.6,0.75,exact,50.7,1506.5,11.2,5.4,0.83,residential,,original_finish,0.824,,,,,-33.7593935,151.098926,way/1043287518
1 HAREFIELD CLOSE NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.6,0.75,exact,57.3,1012.0,11.4,7.0,0.713,residential,,original_finish,0.831,,,,,-33.7597553,151.0980433,way/1055866684
344 KISSING POINT ROAD SOUTH TURRAMURRA,SOUTH TURRAMURRA,2074,KU-RING-GAI,1986,40,88.6,1.0,nearby,44.2,2600.9,9.9,6.0,0.74,residential,,original_finish,1.045,,,,,-33.7593649,151.1086646,way/1311136529
24 BANKS AVENUE NORTH TURRAMURRA,NORTH TURRAMURRA,2074,KU-RING-GAI,1991,35,88.6,0.92,exact,42.5,1397.8,8.3,7.3,0.706,residential,,original_finish,0.81,,,,,-33.7083591,151.1456748,way/1310809465
7 FIRTH AVENUE STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,88.4,0.94,exact,43.4,2417.5,9.0,4.8,0.999,residential,,original_finish,1.0,,,,,-33.8795691,151.0781348,way/564305158
69 BOUNDARY ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.4,0.96,exact,30.5,1224.2,9.3,3.8,0.86,residential,,original_finish,0.864,,,,,-33.7588653,151.0986616,way/1000929082
79A CHURCH STREET CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,88.4,0.85,exact,47.0,2807.3,10.6,4.8,0.918,residential,,original_finish,0.882,,,,,-33.742222,151.0079453,way/681292942
81 DOONMORE STREET PENRITH,PENRITH,2750,PENRITH,1986,40,88.3,0.84,exact,30.7,1088.0,7.6,5.2,0.771,residential,,original_finish,0.897,,,,,-33.7625832,150.7026394,way/461493950
121 ALBERT ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,88.2,0.92,exact,74.1,1513.7,12.1,6.1,0.999,residential,3,original_finish,0.984,,,,,-33.8739378,151.0817437,way/565667370
1 MOUNT ADELAIDE STREET DARLING POINT,DARLING POINT,2027,WOOLLAHRA,1991,35,88.2,1.0,exact,35.3,3274.0,6.7,6.7,0.781,residential,,original_finish,0.933,,,,,-33.8719303,151.2390281,way/580027025
16 CONWAY AVENUE ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,88.2,0.94,exact,62.9,1052.0,10.9,6.8,0.853,residential,,original_finish,0.95,,,,,-33.8685538,151.2721478,way/875174243
6D WENTWORTH STREET POINT PIPER,POINT PIPER,2027,WOOLLAHRA,1986,40,88.2,1.0,exact,22.7,598.8,5.6,5.6,0.719,residential,,original_finish,0.857,,,,,-33.8675456,151.250992,way/955413890
6 ROMA STREET NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,88.2,0.94,exact,54.5,1065.7,10.2,6.2,0.866,residential,,original_finish,0.843,,,,,-33.7606705,151.0925805,way/1000802607
14 CHERRYBROOK ROAD WEST PENNANT HILLS,WEST PENNANT HILLS,2125,THE HILLS SHIRE,1991,35,88.2,1.0,exact,39.7,1957.9,9.9,5.4,0.742,residential,2,original_finish,0.871,,,,,-33.733935,151.0509325,way/1301392531
5 GUMNUT ROAD CHERRYBROOK,CHERRYBROOK,2126,HORNSBY,1991,35,88.2,1.0,exact,40.0,1185.1,9.4,6.1,0.698,residential,,original_finish,0.871,,,,,-33.7276693,151.0471224,way/1324342216
57 ATHENA AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,88.2,1.0,exact,41.2,1317.4,9.1,5.8,0.781,residential,,original_finish,0.938,,,,,-33.7204958,151.1810275,way/1499864754
6 BINNOWEE AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,88.2,1.0,exact,57.8,1384.3,12.1,6.4,0.742,residential,,original_finish,0.818,,,,,-33.7234439,151.1586924,way/1311208382
4 HAYLE STREET ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,88.2,1.0,exact,44.0,1375.2,9.2,6.1,0.789,residential,,original_finish,0.883,,,,,-33.7197406,151.1818385,way/1499864745
2A KULGOA ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,88.1,0.71,exact,31.6,2509.0,8.9,4.6,0.765,residential,2,original_finish,0.845,,,,,-33.8776112,151.2477583,way/954966039
42 WABASH AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,88.1,0.96,nearby,34.1,1481.4,9.3,4.5,0.818,residential,,original_finish,0.812,,,,,-33.7325797,151.2706669,way/1425805573
27 EDEN AVENUE SOUTH TURRAMURRA,SOUTH TURRAMURRA,2074,KU-RING-GAI,1986,40,88.1,0.93,exact,48.7,1355.4,11.3,4.7,0.908,residential,,original_finish,0.938,,,,,-33.7587678,151.1141019,way/1311136521
171A OLD NORTHERN ROAD CASTLE HILL,CASTLE HILL,2154,THE HILLS SHIRE,1986,40,88.0,0.7,exact,37.4,1315.2,9.0,5.2,0.8,residential,,original_finish,0.968,,,,,-33.7453325,150.9962091,way/679143541
24A BENTLEY AVENUE FORESTVILLE,FORESTVILLE,2087,NORTHERN BEACHES,1986,40,88.0,1.0,exact,41.4,538.6,10.9,6.1,0.621,residential,,original_finish,0.825,,,,,-33.7555739,151.2183381,way/868518699
63 ELY STREET REVESBY,REVESBY,2212,CANTERBURY-BANKSTOWN,1986,40,87.8,0.8,exact,90.0,1353.3,12.7,7.9,0.899,residential,,original_finish,0.969,,,,,-33.9424846,151.0126678,way/556651550
1 BEAUCHAMP STREET MARRICKVILLE,MARRICKVILLE,2204,INNER WEST,1986,40,87.8,1.0,exact,41.3,1161.6,9.2,4.5,1.0,residential,,original_finish,0.866,,,,,-33.9134578,151.1460213,way/1248117439
54 BARKER ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,41.1,2109.9,10.3,4.0,0.999,residential,2,original_finish,0.859,,,,,-33.8774814,151.0770896,way/564304991
37 NEWTON ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,2039.5,8.2,3.6,0.998,residential,2,original_finish,0.875,,,,,-33.8778434,151.0766231,way/564304978
82 ALBYN ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,41.1,1499.8,10.3,4.0,0.999,residential,2,original_finish,1.065,,,,,-33.8790578,151.0839901,way/564304995
6 NEWTON ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,1855.1,8.2,3.6,0.998,residential,2,original_finish,0.823,,,,,-33.8793151,151.0803829,way/564305008
23 SOUTH STREET STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,1798.8,8.2,3.6,0.998,residential,,original_finish,0.81,,,,,-33.8804454,151.0765163,way/564305118
20 FIRTH AVENUE STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,1785.3,8.2,3.6,0.998,residential,,original_finish,1.0,,,,,-33.8808818,151.0791294,way/564305134
1A WILSON STREET STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,41.1,1323.7,10.3,4.0,1.0,residential,,original_finish,0.894,,,,,-33.8770636,151.0736495,way/564305221
5 TORRINGTON ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,41.0,1233.7,10.3,4.0,0.999,residential,,original_finish,1.006,,,,,-33.8777001,151.0920711,way/565655463
393-395 LIVERPOOL ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,2756.2,8.2,3.6,0.998,residential,2,original_finish,0.942,,,,,-33.8909377,151.0891913,way/565667130
18 MERLEY ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,0.89,exact,74.1,1749.6,12.1,6.1,0.999,residential,,original_finish,0.859,,,,,-33.8739918,151.0777415,way/565661385
89 CHALMERS ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.8,1.0,exact,29.5,1411.3,8.2,3.6,0.998,residential,,original_finish,0.863,,,,,-33.883711,151.0806939,way/565667016
3 VICTORIA SQUARE ASHFIELD,ASHFIELD,2131,INNER WEST,1986,40,87.8,1.0,exact,44.1,1079.1,8.9,5.0,0.999,residential,,original_finish,0.861,,,,,-33.896056,151.1305664,way/611783825
591 OLD SOUTH HEAD ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,87.8,1.0,exact,38.3,1032.0,9.2,4.2,1.0,residential,,original_finish,0.85,,,,,-33.8694393,151.2768915,way/875174247
163 DOVER ROAD DOVER HEIGHTS,DOVER HEIGHTS,2030,WAVERLEY,1986,40,87.8,1.0,exact,40.7,808.6,9.2,4.7,0.952,residential,2,original_finish,0.897,,,,,-33.8751901,151.2828237,way/955852228
156 VICTORIA ROAD BELLEVUE HILL,BELLEVUE HILL,2023,WOOLLAHRA,1986,40,87.8,1.0,exact,66.5,921.9,12.4,5.6,0.948,residential,,original_finish,0.88,,,,,-33.8845733,151.2591673,way/955413857
19 AWABA STREET MOSMAN,MOSMAN,2088,MOSMAN,1986,40,87.8,1.0,exact,34.3,982.6,6.4,5.4,0.998,residential,,original_finish,0.809,,,,,-33.8212734,151.2484117,way/1532947655
14 FREDERICK STREET NORTH BONDI,NORTH BONDI,2026,WAVERLEY,1986,40,87.8,1.0,exact,41.9,851.4,9.1,4.6,1.0,residential,,original_finish,1.048,,,,,-33.8837204,151.280202,way/683058352
4 TRUMAN AVENUE CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,87.8,0.91,exact,30.0,1067.8,9.7,4.0,0.779,residential,,original_finish,0.84,,,,,-33.7329601,151.2653508,way/1364988989
12 STONECROP ROAD NORTH TURRAMURRA,NORTH TURRAMURRA,2074,KU-RING-GAI,1991,35,87.8,0.97,exact,48.5,3440.2,10.0,6.0,0.816,residential,,original_finish,0.839,,,,,-33.699095,151.1462123,way/1310809457
20 ELOUERA ROAD AVALON BEACH,AVALON BEACH,2107,NORTHERN BEACHES,1986,40,87.8,0.89,exact,42.0,1596.3,9.1,4.6,0.999,residential,,original_finish,0.829,,,,,-33.6354452,151.3252526,way/1266958585
21 BILKURRA AVENUE BILGOLA PLATEAU,BILGOLA PLATEAU,2107,NORTHERN BEACHES,1986,40,87.8,1.0,exact,48.3,965.8,9.2,5.3,1.0,residential,,original_finish,0.853,,,,,-33.6409797,151.3177982,way/1535062567
98B QUEEN STREET REVESBY,REVESBY,2212,CANTERBURY-BANKSTOWN,1986,40,87.7,0.99,exact,50.8,823.8,10.9,5.0,0.922,residential,,original_finish,0.821,,,,,-33.9431905,151.0097302,way/556651551
126 CLONTARF STREET NORTH BALGOWLAH,NORTH BALGOWLAH,2093,NORTHERN BEACHES,1986,40,87.7,0.68,exact,70.4,1621.6,9.8,8.8,0.817,residential,,original_finish,0.938,,,,,-33.7833207,151.2439866,way/1097876346
625 WARRINGAH ROAD FORESTVILLE,FORESTVILLE,2087,NORTHERN BEACHES,1986,40,87.7,0.99,exact,37.7,1127.2,8.9,4.2,1.0,residential,,original_finish,0.896,,,,,-33.7563054,151.220944,way/868518700
23 VALLEY PARK CRESCENT NORTH TURRAMURRA,NORTH TURRAMURRA,2074,KU-RING-GAI,1991,35,87.7,0.96,exact,42.8,1783.8,9.2,5.7,0.818,residential,,original_finish,1.083,,,,,-33.7136458,151.1455866,way/1310947828
151 HOMEBUSH ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.6,0.98,exact,29.5,1243.2,8.2,3.6,0.998,residential,2,original_finish,0.829,,,,,-33.8825971,151.0845098,way/565667251
28-32 GRANTHAM STREET BURWOOD,BURWOOD,2134,BURWOOD,1991,35,87.6,0.95,exact,48.1,2943.0,10.1,5.7,0.838,residential,,original_finish,1.016,,,,,-33.870301,151.100913,way/839802569
44 ANCHORAGE STREET ST CLAIR,ST CLAIR,2759,PENRITH,1986,40,87.6,1.0,exact,29.8,843.9,8.9,3.8,0.892,residential,,original_finish,0.89,,,,,-33.7980577,150.8031309,way/1015236539
167 NORFOLK ROAD NORTH EPPING,NORTH EPPING,2121,HORNSBY,1986,40,87.6,0.78,exact,48.2,1226.8,10.9,5.1,0.868,residential,2,original_finish,0.887,,,,,-33.7557489,151.0909793,way/1024102906
7 SHANNON STREET ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,87.6,0.95,exact,44.7,1493.0,10.1,5.3,0.835,residential,,original_finish,0.841,,,,,-33.7271629,151.1733214,way/1311160866
86 ALBYN ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.5,0.97,exact,41.0,1493.7,10.3,4.0,0.998,residential,,original_finish,0.806,,,,,-33.8788275,151.0837488,way/564304997
2 BEAUMONT STREET ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,87.5,0.92,exact,55.2,791.4,10.0,6.6,0.835,residential,,original_finish,1.018,,,,,-33.8743527,151.2737559,way/954966075
6 BEDIVERE STREET BLACKTOWN,BLACKTOWN,2148,BLACKTOWN,1986,40,87.5,0.88,exact,32.8,824.7,8.9,4.1,0.91,residential,,original_finish,0.846,,,,,-33.7864864,150.9152389,way/1033358404
15 BURKE STREET BLACKTOWN,BLACKTOWN,2148,BLACKTOWN,1986,40,87.3,0.87,exact,56.4,906.6,10.6,6.0,0.883,residential,,original_finish,0.923,,,,,-33.7836498,150.8981402,way/1033358451
33 WARRIMOO AVENUE ST IVES,ST IVES,2075,KU-RING-GAI,1991,35,87.3,0.93,exact,43.6,1402.0,10.4,5.3,0.793,residential,,original_finish,0.846,,,,,-33.7206241,151.1534325,way/1311209605
67 CARSON STREET PANANIA,PANANIA,2213,CANTERBURY-BANKSTOWN,1986,40,87.2,1.0,exact,19.2,1129.9,6.0,3.7,0.869,residential,,original_finish,0.882,,,,,-33.9535731,151.0060734,way/1030586228
635-639 ANZAC PARADE MAROUBRA,MAROUBRA,2035,RANDWICK,1986,40,87.2,1.0,nearby,37.2,2714.7,10.3,4.4,0.817,residential,,original_finish,1.038,,,,,-33.9356582,151.2377487,way/1388847979
30-32 WAKEFORD ROAD STRATHFIELD,STRATHFIELD,2135,STRATHFIELD,1986,40,87.2,0.95,exact,41.0,1948.7,10.3,4.0,0.999,residential,2,original_finish,1.022,,,,,-33.8835081,151.0885244,way/565666991
25 IVANHOE ROAD CROYDON,CROYDON,2132,BURWOOD,1986,40,87.2,1.0,nearby,52.0,2439.3,9.9,5.8,0.905,residential,,original_finish,0.801,,,,,-33.8784564,151.118876,way/834052905
10 KENT ROAD ROSE BAY,ROSE BAY,2029,WOOLLAHRA,1986,40,87.2,1.0,nearby,34.2,981.2,8.3,5.1,0.807,residential,,original_finish,0.811,,,,,-33.8736246,151.2657284,way/955843413
58 MACQUARIE STREET CROMER,CROMER,2099,NORTHERN BEACHES,1986,40,87.2,1.0,nearby,43.9,807.1,10.2,5.2,0.824,residential,,original_finish,0.912,,,,,-33.7304537,151.2601881,way/1512082838
33A WATER STREET WAHROONGA,WAHROONGA,2076,KU-RING-GAI,1991,35,87.2,0.92,exact,67.3,2319.6,13.6,6.8,0.723,residential,,original_finish,0.851,,,,,-33.7164438,151.1251321,way/1236488618
